"start_time","intention","voipdiagnosis_day_click_pv"
2025-02-28 00:00:00,me.botim.function.voipdiagnosis,588
2025-01-28 00:00:00,me.botim.function.voipdiagnosis,585
2025-02-10 00:00:00,me.botim.function.voipdiagnosis,584
2025-02-17 00:00:00,me.botim.function.voipdiagnosis,581
2025-02-05 00:00:00,me.botim.function.voipdiagnosis,579
2025-01-24 00:00:00,me.botim.function.voipdiagnosis,578
2025-02-16 00:00:00,me.botim.function.voipdiagnosis,571
2025-03-05 00:00:00,me.botim.function.voipdiagnosis,567
2025-02-09 00:00:00,me.botim.function.voipdiagnosis,565
2025-02-12 00:00:00,me.botim.function.voipdiagnosis,562
2025-02-11 00:00:00,me.botim.function.voipdiagnosis,557
2025-02-04 00:00:00,me.botim.function.voipdiagnosis,555
2025-02-23 00:00:00,me.botim.function.voipdiagnosis,554
2025-02-22 00:00:00,me.botim.function.voipdiagnosis,552
2025-02-18 00:00:00,me.botim.function.voipdiagnosis,548
2025-02-03 00:00:00,me.botim.function.voipdiagnosis,546
2025-02-06 00:00:00,me.botim.function.voipdiagnosis,544
2025-02-25 00:00:00,me.botim.function.voipdiagnosis,540
2025-03-01 00:00:00,me.botim.function.voipdiagnosis,536
2025-02-07 00:00:00,me.botim.function.voipdiagnosis,536
2025-02-13 00:00:00,me.botim.function.voipdiagnosis,535
2025-02-27 00:00:00,me.botim.function.voipdiagnosis,535
2025-01-27 00:00:00,me.botim.function.voipdiagnosis,534
2025-02-19 00:00:00,me.botim.function.voipdiagnosis,530
2025-01-30 00:00:00,me.botim.function.voipdiagnosis,529
2025-02-01 00:00:00,me.botim.function.voipdiagnosis,528
2025-02-24 00:00:00,me.botim.function.voipdiagnosis,528
2025-02-21 00:00:00,me.botim.function.voipdiagnosis,527
2025-01-26 00:00:00,me.botim.function.voipdiagnosis,523
2025-02-15 00:00:00,me.botim.function.voipdiagnosis,522
2025-02-26 00:00:00,me.botim.function.voipdiagnosis,518
2025-01-25 00:00:00,me.botim.function.voipdiagnosis,518
2025-02-08 00:00:00,me.botim.function.voipdiagnosis,515
2025-02-14 00:00:00,me.botim.function.voipdiagnosis,514
2025-01-31 00:00:00,me.botim.function.voipdiagnosis,512
2025-03-06 00:00:00,me.botim.function.voipdiagnosis,512
2025-03-02 00:00:00,me.botim.function.voipdiagnosis,508
2025-02-02 00:00:00,me.botim.function.voipdiagnosis,501
2025-02-20 00:00:00,me.botim.function.voipdiagnosis,493
2025-01-29 00:00:00,me.botim.function.voipdiagnosis,490
2025-03-09 00:00:00,me.botim.function.voipdiagnosis,460
2025-03-04 00:00:00,me.botim.function.voipdiagnosis,459
2025-03-03 00:00:00,me.botim.function.voipdiagnosis,444
2025-03-08 00:00:00,me.botim.function.voipdiagnosis,436
2025-03-10 00:00:00,me.botim.function.voipdiagnosis,403
2025-03-20 00:00:00,me.botim.function.voipdiagnosis,356
2025-03-07 00:00:00,me.botim.function.voipdiagnosis,355
2025-03-16 00:00:00,me.botim.function.voipdiagnosis,355
2025-03-18 00:00:00,me.botim.function.voipdiagnosis,345
2025-03-14 00:00:00,me.botim.function.voipdiagnosis,340
2025-03-15 00:00:00,me.botim.function.voipdiagnosis,340
2025-03-21 00:00:00,me.botim.function.voipdiagnosis,333
2025-03-19 00:00:00,me.botim.function.voipdiagnosis,331
2025-03-17 00:00:00,me.botim.function.voipdiagnosis,328
2025-03-22 00:00:00,me.botim.function.voipdiagnosis,315
2025-03-23 00:00:00,me.botim.function.voipdiagnosis,290
2025-03-11 00:00:00,me.botim.function.voipdiagnosis,278
2025-03-13 00:00:00,me.botim.function.voipdiagnosis,275
2025-03-12 00:00:00,me.botim.function.voipdiagnosis,263
