"start_time","'all-intention'","botim_ai"
2025-03-19 00:00:00,all-intention,40204
2025-03-23 00:00:00,all-intention,39886
2025-03-21 00:00:00,all-intention,39813
2025-03-20 00:00:00,all-intention,39803
2025-03-18 00:00:00,all-intention,39307
2025-03-22 00:00:00,all-intention,39261
2025-03-17 00:00:00,all-intention,36285
2025-03-16 00:00:00,all-intention,23750
2025-03-15 00:00:00,all-intention,23090
2025-03-14 00:00:00,all-intention,20993
2025-03-13 00:00:00,all-intention,16479
2025-03-07 00:00:00,all-intention,13070
2025-03-08 00:00:00,all-intention,12880
2025-03-10 00:00:00,all-intention,12716
2025-03-11 00:00:00,all-intention,12586
2025-03-09 00:00:00,all-intention,11978
2025-03-12 00:00:00,all-intention,11337
2025-03-06 00:00:00,all-intention,7767
2025-03-05 00:00:00,all-intention,5668
2025-03-04 00:00:00,all-intention,5487
2025-03-03 00:00:00,all-intention,1909
2025-02-28 00:00:00,all-intention,224
2025-03-02 00:00:00,all-intention,183
2025-03-01 00:00:00,all-intention,170
2025-02-25 00:00:00,all-intention,91
2025-02-27 00:00:00,all-intention,53
2025-02-26 00:00:00,all-intention,13
