dt,message_user_active_count_all,p2p_user_active_count_all,video_user_active_count_all,voice_user_active_count_all,meet_user_active_count_all,miniprogram_user_active_count_all,dau_all,p2p_duration_all,video_duration_all,voice_duration_all,meet_duration_all,miniprogram_duration_all,mp_pay_count_all,payby_dau_all,message_user_active_count_ae,p2p_user_active_count_ae,video_user_active_count_ae,voice_user_active_count_ae,meet_user_active_count_ae,miniprogram_user_active_count_ae,dau_ae,p2p_duration_ae,video_duration_ae,voice_duration_ae,meet_duration,miniprogram_duration_ae,mp_pay_count_ae,payby_dau_ae,message_user_active_count_eg,p2p_user_active_count_eg,video_user_active_count_eg,voice_user_active_count_eg
22/01/2025,1365269,6349485,3231151,4586655,251518,2410601,8005055,7503746421,3010404568,4493341853,406678809,812013251,1832,110916,537778,2773001,1501997,2064838,126336,1270643,3371519,6395612073,2667648357,3727963716,216424132,402597902,1576,97754,70277,335710,100183,287306
23/01/2025,1363940,6324496,3231453,4560678,252759,2519167,8024626,7428762389,2990785642,4437976747,402553805,849409198,649,86845,539676,2775977,1505311,2066268,128937,1236987,3411332,6346341900,2654562753,3691779147,216572030,418741387,559,77156,69245,332749,100948,284410
24/01/2025,1358157,6219557,3277831,4413742,252725,2229359,7954902,7260108538,3031260813,4228847725,391571893,796368168,247,80430,537770,2741655,1513953,2021258,128200,1142125,3391369,6190102470,2670472767,3519629703,207790440,402857685,230,71913,68844,326740,106422,274445
25/01/2025,1350044,6199175,3295411,4370875,250075,1872635,7959058,7250239773,3060512702,4189727071,394487039,730926619,1604,115299,533739,2709297,1517372,1980552,125027,907988,3370069,6174238830,2712518331,3461720499,208080157,361265212,1378,102277,69520,327938,102591,278231
26/01/2025,1350747,6206820,3383664,4282721,262484,1776250,7918188,7466713647,3258653705,4208059942,426858858,663260038,546,81555,528126,2682021,1542113,1917768,127667,821730,3302853,6376800404,2906234757,3470565647,219849063,316581119,491,72776,73625,332770,102534,283453
27/01/2025,1383664,6357521,3217672,4607389,242678,1797980,8054618,7479574338,2986803770,4492770568,383756457,708295615,412,90414,544206,2774469,1492730,2073545,120613,848100,3404218,6382181944,2647767406,3734414538,200467997,339760385,368,80614,74063,334120,98884,286723
28/01/2025,1377848,6366231,3233467,4603057,248338,1786953,8071957,7586963961,3027418326,4559545635,396480534,692932099,259,87780,541306,2782703,1501317,2075539,124090,839919,3423835,6467183175,2682092186,3785090989,208665645,322280357,232,78390,73588,336829,99101,289399
29/01/2025,1377831,6379665,3243695,4616048,252366,1820835,8115522,7473255401,2990146857,4483108544,399177269,691286580,228,88133,542049,2791073,1507132,2083838,126305,876716,3452103,6368486709,2649317971,3719168738,210859590,320577294,211,78815,72537,334607,98768,287772
30/01/2025,1381146,6349079,3229612,4597651,251574,2080166,8122000,7379165393,2950584384,4428581009,396068729,748472632,458,93780,541244,2791085,1505351,2087071,128034,1107912,3408263,6296915284,2616167395,3680747889,212476138,354045801,331,84179,71541,333975,99778,286332
31/01/2025,1360240,6213357,3259552,4424349,247768,1987390,7952151,7126395634,2959151057,4167244577,375616384,675650545,417,93097,536331,2746738,1507611,2032863,125672,1054066,3372968,6073626583,2606956883,3466669700,197907756,346461325,304,83537,69426,325636,104802,274854
